name,brand,class,subclass,mechanism,route,half_life_hr_min,half_life_hr_max,protein_binding_pct,bioavailability_pct,renal_excretion_pct,primary_enzyme,secondary_enzymes,narrow_ti,max_daily_dose_mg,therapeutic_range,monitoring,pregnancy_cat,food_effect,contraindications,notes
warfarin,Coumadin|Jantoven,anticoagulant,vitamin K antagonist,"Inhibits VKORC1, reducing active vitamin K for clotting factors II, VII, IX, X",oral,36,42,99,93,2,CYP2C9,CYP3A4|CYP1A2,True,15,INR 2.0-3.0 (general); 2.5-3.5 (mechanical valves),"INR weekly until stable, then monthly|Signs of bleeding",X,Vitamin K (leafy greens) antagonizes effect — maintain consistent intake. Grapefruit irrelevant.,active bleeding|pregnancy|uncontrolled hypertension,CYP2C9 *2/*3 polymorphisms reduce metabolism → need lower dose
heparin,Heparin Sodium,anticoagulant,unfractionated heparin,"Activates antithrombin III, inhibiting thrombin and Xa",IV|subcutaneous,1,2,80,100,10,,,True,,aPTT 60-100s or anti-Xa 0.3-0.7 IU/mL,aPTT q6h initially|Platelets for HIT (days 4-14)|CBC,C,None,,HIT risk — monitor platelets. Protamine reversal available.
rivaroxaban,Xarelto,anticoagulant,direct Xa inhibitor,"Direct inhibition of factor Xa, no antithrombin required",oral,5,9,92,66,36,CYP3A4,P-gp,True,30,Anti-Xa 0.5-2.0 IU/mL (not routinely monitored),Renal function annually|Bleeding signs,C,15mg/20mg doses must be taken WITH food (fat increases absorption 39%). 10mg can be taken without food.,,Avoid if CrCl <15. P-gp and CYP3A4 inhibitors increase exposure.
apixaban,Eliquis,anticoagulant,direct Xa inhibitor,Direct inhibition of factor Xa,oral,8,15,87,50,27,CYP3A4,P-gp,True,20,Not routinely monitored,Renal function|Bleeding,C,Can be taken with or without food,,Andexanet alfa reversal available.
amlodipine,Norvasc,antihypertensive,calcium channel blocker (dihydropyridine),Blocks L-type calcium channels in vascular smooth muscle → vasodilation,oral,30,50,97,64,3,CYP3A4,,False,10,BP <130/80 mmHg,BP|Heart rate|Peripheral edema,C,"Grapefruit juice inhibits intestinal CYP3A4 → Cmax +35%, AUC +40%. Avoid entirely.",,Long half-life → once daily dosing. Minimal negative inotropy vs non-DHP CCBs.
lisinopril,Prinivil|Zestril,antihypertensive,ACE inhibitor,Inhibits angiotensin-converting enzyme → reduces angiotensin II,oral,12,12,0,25,90,,,False,40,BP <130/80 mmHg,"BP|Renal function (Cr, K+) at 1-2 weeks after start|Cough",D,"Potassium-rich foods (bananas, oranges) may increase hyperkalemia risk",,Reduce dose in CrCl <30. Contraindicated in pregnancy (teratogenic). ACE cough in 10-15%.
enalapril,Vasotec,antihypertensive,ACE inhibitor,Prodrug → enalaprilat inhibits ACE,oral|IV,11,11,50,60,88,,,False,40,BP <130/80 mmHg,BP|Cr|K+,D,Food delays Tmax but does not affect AUC,,Requires renal activation. Monitor K+ especially with K-sparing diuretics.
losartan,Cozaar,antihypertensive,ARB,Blocks AT1 angiotensin II receptor,oral,6,9,99,33,13,CYP2C9,CYP3A4,False,100,BP <130/80,BP|K+|Cr,D,AUC reduced ~10% with high-fat meal — clinically insignificant,,Active metabolite EXP3174 is more potent. Less cough than ACEi.
metoprolol,Lopressor|Toprol-XL,antihypertensive,beta-1 selective blocker,Selectively blocks beta-1 adrenergic receptors,oral|IV,3,7,12,50,5,CYP2D6,,False,400,Resting HR 55-65 bpm,HR|BP|Bronchospasm in asthma,C,Food increases AUC ~40% for immediate release — take with food for consistency,,CYP2D6 PMs have 4-5x higher concentrations. Taper on discontinuation.
atenolol,Tenormin,antihypertensive,beta-1 selective blocker,Selective beta-1 adrenergic blockade,oral,6,9,3,50,85,,,False,100,HR 55-65 bpm,HR|BP|Renal function,D,Food reduces Cmax 20% but AUC unchanged,,"Hydrophilic — renal excretion, reduce dose in renal impairment. Less CNS effects than propranolol."
carvedilol,Coreg,antihypertensive,non-selective beta blocker + alpha-1 blocker,Non-selective beta + alpha-1 blockade → combined vasodilation + HR reduction,oral,6,10,98,25,2,CYP2D6,CYP2C9,False,100,"HR 55-65 bpm, BP <130/80",HR|BP|Fluid retention,C,Take WITH food to slow absorption and reduce orthostatic hypotension risk,,First-line for heart failure. Significant first-pass effect. CYP2D6 PMs have higher exposure.
digoxin,Lanoxin,cardiac glycoside,inotrope/antiarrhythmic,Inhibits Na+/K+-ATPase → increased intracellular Ca++ → positive inotropy,oral|IV,36,48,25,70,70,,P-gp,True,0.375,0.5-0.9 ng/mL (HF); 0.5-2.0 ng/mL (AF rate control),"Digoxin level (6-8hr post-dose)|K+, Mg++, Ca++|ECG|Renal function",C,High-fiber meal reduces absorption 25%. Take consistently relative to meals.,,"P-gp substrate — many interactions. Hypokalemia potentiates toxicity. Signs: nausea, yellow-green halos."
amiodarone,Cordarone|Pacerone,antiarrhythmic,class III,"Blocks K+ channels → prolongs action potential. Also blocks Na+, Ca++, beta",oral|IV,1200,2400,96,50,0,CYP3A4,CYP2C8|CYP2D6,True,400,1.0-2.5 mg/L (not routinely used),TFTs q6mo|LFTs q6mo|CXR annually|PFTs if symptomatic|Ophthalmology|Thyroid,D,Grapefruit increases levels. Take consistently.,,40-55 day half-life. Inhibits CYP2C9 → warfarin 35-65% dose reduction. Iodine-rich — thyroid toxicity.
spironolactone,Aldactone,diuretic,potassium-sparing / aldosterone antagonist,"Competitive aldosterone antagonist → Na+ excretion, K+ retention",oral,1.5,2,90,90,50,CYP3A4,,False,400,"Clinical response (BP, K+)",K+|Cr|BP|Gynecomastia,D,Take WITH food — improves absorption and reduces GI upset,,Hyperkalemia risk with ACEi/ARBs/K+ supplements. Active metabolite canrenone.
furosemide,Lasix,diuretic,loop diuretic,Inhibits Na+/K+/2Cl- cotransporter in thick ascending loop of Henle,oral|IV,2,2,99,47,88,,,False,600,"Clinical response (diuresis, BP)",K+|Cr|Electrolytes|Volume status|Hearing (high doses),C,Food delays absorption; AUC reduced ~30%. Take on empty stomach for acute diuresis.,,High-dose ototoxicity risk especially with aminoglycosides. Monitor K+ — hypokalemia common.
hydrochlorothiazide,Microzide|HydroDIURIL,diuretic,thiazide,Inhibits NaCl cotransporter in distal convoluted tubule,oral,6,15,40,65,95,,,False,50,BP <130/80,K+|Na+|Glucose|Uric acid|Lipids,D,Take in morning with food to avoid nocturia,,"Hypokalemia, hyperuricemia, hyperglycemia risks. Less effective if CrCl <30."
atorvastatin,Lipitor,lipid-lowering,HMG-CoA reductase inhibitor (statin),Competitive inhibition of HMG-CoA reductase → reduces cholesterol synthesis,oral,14,14,98,12,2,CYP3A4,,False,80,LDL-C target per cardiovascular risk,"LFTs at baseline, 12 weeks, then annually|CK if myopathy symptoms|Lipid panel q3-12mo",X,Grapefruit juice increases AUC 2-fold. Avoid large amounts (>1 quart/day).,,Can be taken any time of day. Rhabdomyolysis risk with CYP3A4 inhibitors.
simvastatin,Zocor,lipid-lowering,HMG-CoA reductase inhibitor (statin),Competitive inhibition of HMG-CoA reductase,oral,1.9,1.9,95,5,13,CYP3A4,,False,40,LDL-C target,LFTs|CK if myopathy,X,Take in EVENING — cholesterol synthesis is highest at night. Grapefruit contraindicated.,,80mg dose associated with high myopathy risk — FDA limits use. Strong CYP3A4 inhibitors → rhabdomyolysis.
rosuvastatin,Crestor,lipid-lowering,HMG-CoA reductase inhibitor (statin),Competitive inhibition of HMG-CoA reductase,oral,19,19,88,20,28,CYP2C9,OATP1B1,False,40,LDL-C target,LFTs|CK|Renal function,X,"Can be taken any time of day, with or without food",,Less CYP3A4 interaction than atorvastatin/simvastatin. Asian patients may need lower doses.
pravastatin,Pravachol,lipid-lowering,HMG-CoA reductase inhibitor (statin),Competitive inhibition of HMG-CoA reductase,oral,1.5,2,50,18,20,,OATP1B1,False,80,LDL-C target,LFTs|CK,X,Food reduces Cmax but not AUC. Take at bedtime.,,Lowest CYP interaction of all statins. Preferred in drug interaction-prone patients.
metformin,Glucophage|Glumetza,antidiabetic,biguanide,"Activates AMPK → reduces hepatic gluconeogenesis, improves insulin sensitivity",oral,6,7,0,55,90,,,False,3000,FPG <130 mg/dL; HbA1c <7%,"HbA1c q3mo initially, then q6-12mo|Renal function annually (CrCl)|B12 q1-2yr",B,"Take WITH food (breakfast, dinner) — reduces GI side effects. Food reduces Cmax 25% but improves tolerability.",,"Hold for IV contrast, surgery. Lactic acidosis risk if CrCl<30. Reduces B12 absorption."
glipizide,Glucotrol,antidiabetic,sulfonylurea,Closes K-ATP channels in pancreatic beta cells → insulin release,oral,2,5,99,90,91,CYP2C9,,False,40,FPG <130 mg/dL,Blood glucose|HbA1c|Signs of hypoglycemia,C,Take 30 minutes BEFORE meals. Food delays and reduces absorption significantly.,,Hypoglycemia risk especially in elderly/renal impairment. CYP2C9 interactions with fluconazole.
sitagliptin,Januvia,antidiabetic,DPP-4 inhibitor,Inhibits DPP-4 → increases GLP-1 and GIP → glucose-dependent insulin release,oral,12,12,38,87,79,,,False,100,HbA1c <7%,HbA1c|Renal function|Signs of pancreatitis,C,Can be taken with or without food,,Reduce dose in renal impairment: 50mg if CrCl 30-50; 25mg if CrCl<30.
empagliflozin,Jardiance,antidiabetic,SGLT-2 inhibitor,Inhibits SGLT-2 in proximal tubule → glucose excretion in urine,oral,12,13,86,78,54,,UGT1A3|UGT2B7,False,25,HbA1c <7%,eGFR|Volume status|UTI/genital infections|DKA signs,C,"Can be taken with or without food, in the morning",,Cardiovascular and renal protection independent of glucose lowering. Hold before major surgery.
insulin_glargine,Lantus|Basaglar|Toujeo,antidiabetic,long-acting insulin analogue,Binds insulin receptor → facilitates glucose uptake into cells; suppresses gluconeogenesis/lipolysis,subcutaneous,24,24,0,70,5,,,True,,FBG 80-130 mg/dL (ADA target); HbA1c <7%,Blood glucose (fasting daily)|HbA1c q3mo initially|Hypoglycemia signs|Injection site lipohypertrophy,B,Subcutaneous injection — no food interaction. Consistent carbohydrate intake important for dose stability.,hypoglycemia episode (hold dose),"Do not mix with other insulins. Rotate injection sites. Hypoglycemia risk increases with alcohol, beta-blockers (mask signs), ACE inhibitors. Brand-to-brand switch requires dose retitration."
levothyroxine,Synthroid|Levoxyl|Tirosint,thyroid hormone,synthetic T4,"Replaces endogenous T4, converted to active T3 in peripheral tissues",oral,168,192,99.9,75,0,,,True,0.5,TSH 0.5-4.5 mIU/L; T4 5.0-12.0 mcg/dL,"TSH q6-8 weeks after dose change, then annually|HR|BP",A,"CRITICAL: Take 30-60 min BEFORE breakfast on EMPTY STOMACH. Calcium, iron, coffee, soy all reduce absorption by 20-40%. Separate 4+ hours from calcium/iron supplements.",,"Interacts with calcium, iron, antacids (chelation), cholestyramine, sucralfate. Consistent brand important."
amoxicillin,Amoxil,antibiotic,aminopenicillin,Inhibits bacterial cell wall synthesis by binding PBPs,oral|IV,1,1.5,17,89,60,,,False,3000,MIC dependent,Signs of allergic reaction|Renal function|C. diff if prolonged,B,Can be taken with or without food. Food delays absorption but not extent.,,Penicillin allergy cross-reactivity 1-10%. Time-dependent bactericidal activity.
ciprofloxacin,Cipro,antibiotic,fluoroquinolone,Inhibits DNA gyrase and topoisomerase IV → DNA strand breaks,oral|IV,4,6,20,70,45,CYP1A2,,False,1500,MIC dependent,Tendon pain (Achilles)|QT interval if cardiac risk|Blood glucose in diabetics,C,"Dairy products (Ca++, Mg++) and antacids chelate and reduce absorption 50-90%. Take 2 hours before or 6 hours after calcium-containing products.",,"Strong CYP1A2 inhibitor — warfarin, theophylline, clozapine levels increase. Tendinopathy risk."
azithromycin,Zithromax|Z-Pak,antibiotic,macrolide,Binds 50S ribosomal subunit → inhibits protein synthesis,oral|IV,68,68,51,37,6,CYP3A4,,False,2000,MIC dependent,QT interval|LFTs if prolonged|Cardiac monitoring in at-risk patients,B,Tablets: take with or without food. Suspension: 1hr before or 2hr after meals.,,QT prolongation risk — avoid with other QT-prolonging agents. Long tissue half-life.
clarithromycin,Biaxin,antibiotic,macrolide,Binds 50S ribosomal subunit → inhibits protein synthesis,oral,3,7,70,50,40,CYP3A4,,False,1000,MIC dependent,"QT interval|LFTs|CYP3A4 substrate levels (statins, digoxin)",C,Take with food — reduces GI upset,,STRONG CYP3A4 mechanism-based inhibitor — effect persists days after stopping. Increases simvastatin/atorvastatin → rhabdomyolysis. Digoxin levels increase.
doxycycline,Vibramycin|Doxy-100,antibiotic,tetracycline,Binds 30S ribosomal subunit → inhibits protein synthesis,oral|IV,18,22,93,93,40,,,False,400,MIC dependent,Photosensitivity|GI tolerance|Dental staining in children,D,"Take WITH food/milk to reduce esophageal irritation. Dairy, antacids, iron chelate — separate 2+ hours.",,Photosensitivity — use sunscreen. Avoid in children <8 (dental staining). GERD-like symptoms common.
metronidazole,Flagyl,antibiotic,nitroimidazole,Reduced to toxic radical by anaerobic organisms → DNA strand breaks,oral|IV|topical,6,8,20,99,60,CYP3A4,CYP2C9,False,4000,MIC dependent,CBC for prolonged courses|Peripheral neuropathy,B,Take WITH food to reduce nausea,,DISULFIRAM-LIKE reaction with alcohol — absolute prohibition during and 48hr after course. Inhibits CYP2C9 → warfarin toxicity.
fluconazole,Diflucan,antifungal,triazole,Inhibits fungal 14-α-demethylase (CYP51) → ergosterol depletion,oral|IV,30,30,11,94,80,CYP3A4,CYP2C9|CYP2C19,False,800,Clinical response,"LFTs|QT interval|Drug interactions (warfarin, phenytoin, statins)",D,Can be taken with or without food,,"STRONG CYP2C9 inhibitor (warfarin dose reduce 50%), CYP3A4 inhibitor. QT prolongation at high doses."
sertraline,Zoloft,antidepressant,SSRI,Selective serotonin reuptake inhibitor,oral,26,26,99,44,12,CYP2C19,CYP2D6|CYP3A4,False,200,Clinical response,Suicidal ideation (first 4 weeks)|Serotonin syndrome signs|Hyponatremia in elderly,C,Take with food to improve bioavailability and reduce nausea. Bioavailability increases 30% with food.,,"Serotonin syndrome risk with MAOIs, tramadol, triptans. Discontinuation syndrome if stopped abruptly."
fluoxetine,Prozac,antidepressant,SSRI,Selective serotonin reuptake inhibitor,oral,24,72,94,72,11,CYP2D6,CYP2C9|CYP3A4,False,80,Clinical response,Suicidal ideation|Serotonin syndrome,C,Can be taken with or without food,,Norfluoxetine active metabolite t1/2 = 4-16 days. Significant CYP2D6 inhibitor. Long washout needed before MAOI.
escitalopram,Lexapro,antidepressant,SSRI,Selective serotonin reuptake inhibitor — S-enantiomer of citalopram,oral,27,32,56,80,8,CYP2C19,CYP3A4,False,20,Clinical response,QT interval (dose-dependent)|Hyponatremia,C,Can be taken with or without food,,QT prolongation at high doses. Max 10mg in hepatic impairment or elderly.
alprazolam,Xanax,anxiolytic,benzodiazepine,Positive allosteric modulator of GABA-A receptors → CNS depression,oral,11,15,80,92,4,CYP3A4,,True,10,Lowest effective dose,Sedation|Respiratory depression|Dependence potential,D,Can be taken with or without food. Grapefruit increases levels significantly.,,High dependence risk. Taper slowly — withdrawal can be life-threatening. Avoid alcohol.
phenytoin,Dilantin,anticonvulsant,hydantoin,Blocks voltage-gated sodium channels in neuronal membranes,oral|IV,20,60,90,90,5,CYP2C9,CYP2C19,True,600,Total 10-20 mcg/mL; Free 1-2 mcg/mL,Phenytoin level 2 weeks post-change|CBC annually|Gingival hyperplasia|Nystagmus,D,Enteral feeds reduce absorption — hold feeds 2hr before/after. Consistent food intake important.,,Non-linear (saturable) kinetics — small dose changes → large level changes. Induces CYP3A4/2C9.
levetiracetam,Keppra,anticonvulsant,pyrrolidine,Binds SV2A synaptic vesicle protein → modulates neurotransmitter release,oral|IV,6,8,10,100,66,,,False,3000,12-46 mcg/mL (not routinely monitored),Renal function|Mood/behavioral changes|CBC,C,Can be taken with or without food. Food reduces Cmax slightly but not AUC.,,Minimal drug interactions (no CYP metabolism). Dose reduce in renal impairment. Irritability common.
salbutamol,Ventolin|ProAir|Albuterol,bronchodilator,short-acting beta-2 agonist (SABA),Beta-2 adrenergic agonist → bronchial smooth muscle relaxation,inhaled|oral|IV,5,6,10,15,69,,,False,32,"Clinical response (peak flow, symptoms)",HR|K+ (high doses cause hypokalemia)|Tremor,C,Inhaled: no food effect. Oral: food delays absorption.,,PRN use for acute bronchospasm. Frequent use (>2x/week) indicates poor control — reassess therapy.
montelukast,Singulair,antiasthmatic,leukotriene receptor antagonist,Blocks CysLT1 receptors → reduces bronchoconstriction and inflammation,oral,2.7,5.5,99,64,0,CYP3A4,CYP2C9,False,10,Clinical response,"Neuropsychiatric events (mood changes, suicidality — FDA warning)",B,Take in EVENING (allergic rhinitis/asthma). Standard tablet: no food effect. Chewable: avoid for 1hr after.,,FDA boxed warning for neuropsychiatric events. Reserve for when ICS preferred but not tolerated.
omeprazole,Prilosec,GI agent,proton pump inhibitor (PPI),Irreversibly inhibits H+/K+-ATPase (proton pump) in gastric parietal cells,oral|IV,1,1.5,97,53,20,CYP2C19,CYP3A4,False,40,Symptom resolution; gastric pH >4,Mg++ (long-term)|Bone density (long-term)|C. diff risk|B12,C,Take 30-60 min BEFORE eating (breakfast preferred). Acid needed to activate. Food reduces absorption if taken simultaneously.,,Irreversible — effect lasts days despite short half-life. CYP2C19 PM have 3-5x exposure. Reduces clopidogrel activation.
pantoprazole,Protonix,GI agent,proton pump inhibitor (PPI),Irreversibly inhibits H+/K+-ATPase,oral|IV,1,1.9,98,77,71,CYP2C19,CYP3A4,False,80,Clinical response,Mg++|Bone density long-term,C,Take 30-60 min before meal. Food does not significantly affect AUC.,,Fewer CYP interactions than omeprazole — preferred if on clopidogrel.
ondansetron,Zofran,antiemetic,5-HT3 receptor antagonist,Blocks serotonin 5-HT3 receptors centrally and peripherally → antiemesis,oral|IV|IM,3,6,70,60,5,CYP3A4,CYP1A2|CYP2D6,False,32,Clinical response,QT interval (dose-dependent — max 16mg IV),B,Can be taken with or without food,,QT prolongation — avoid in hepatic impairment >8mg IV. Serotonin syndrome risk with SSRIs (rare).
ibuprofen,Advil|Motrin,NSAID,propionic acid derivative,Non-selective COX-1/COX-2 inhibitor → reduced prostaglandin synthesis,oral|topical|IV,1.8,2,99,87,45,CYP2C9,,False,3200,Clinical response,BP|Renal function|GI bleeding signs|CBC,C (D in 3rd trimester),Take WITH food or milk — reduces GI irritation. Does not affect absorption.,,Renal prostaglandin inhibition → AKI risk. Avoid with ACEi/ARBs/diuretics. Antihypertensive interference.
naproxen,Aleve|Naprosyn,NSAID,propionic acid,Non-selective COX inhibitor,oral,12,17,99,95,95,CYP2C9,,False,1500,Clinical response,BP|Renal function|GI bleeding,C (D in 3rd trimester),Take WITH food or milk,,Longer half-life than ibuprofen → twice daily dosing. Same GI/renal risks as all NSAIDs.
celecoxib,Celebrex,NSAID,selective COX-2 inhibitor,Selective COX-2 inhibition → reduced prostaglandin synthesis with less COX-1 effect,oral,11,11,97,40,27,CYP2C9,,False,800,Clinical response,BP|Renal function|Cardiac events|GI symptoms,C (D 3rd trimester),Food increases absorption ~20%. Can be taken with or without food.,,Less GI bleeding vs non-selective NSAIDs. Still renal and cardiovascular risk. CYP2C9 substrate.
allopurinol,Zyloprim,antigout,xanthine oxidase inhibitor,Inhibits xanthine oxidase → reduced uric acid synthesis,oral,24,30,0,90,70,,,False,800,Serum urate <6 mg/dL,Uric acid level|LFTs|CBC|Renal function|Hypersensitivity (DRESS),C,Take WITH food to reduce GI upset. Take AFTER meals.,,Azathioprine/6-MP interaction — xanthine oxidase inhibition → mercaptopurine toxicity (reduce dose 75%). HLA-B*5801 screening in Asian patients.
alendronate,Fosamax,bone agent,bisphosphonate,Inhibits osteoclast-mediated bone resorption,oral,2160,2160,78,0.6,50,,,False,40,Bone density improvement (DEXA),"DEXA q2yr|Ca++, Vitamin D levels|Jaw pain (osteonecrosis)|Atypical femur fractures",C,"CRITICAL: Take with FULL GLASS of water (240mL), EMPTY STOMACH, 30 min before any food/drink/medication. REMAIN UPRIGHT 30 min after. Any food reduces absorption >90%.",,Esophageal irritation/ulceration if not taken correctly. Weekly dosing preferred for adherence.
calcium_carbonate,Tums|Caltrate,mineral supplement,calcium salt,Provides elemental calcium for bone mineralization; antacid,oral,,,0,40,20,,,False,2500,Serum Ca++ 8.5-10.5 mg/dL,Serum Ca++|Renal function,A,Take WITH food — requires gastric acid for absorption. Calcium citrate can be taken without food.,,"Chelates levothyroxine, fluoroquinolones, iron, bisphosphonates — separate 2-4 hours. Constipation common."
theophylline,Theo-Dur|Uniphyl,bronchodilator,methylxanthine,Inhibits phosphodiesterase → increased cAMP; adenosine antagonism,oral|IV,8,10,40,90,10,CYP1A2,CYP3A4,True,1200,5-15 mcg/mL (asthma); 8-13 mcg/mL (COPD),Theophylline level (steady state 48-72hr)|HR|Seizure threshold,C,High-fat meals may increase AUC for sustained-release formulations. Coffee/caffeine additive toxicity.,,"CYP1A2 inducers (smoking, rifampicin) dramatically reduce levels. Fluoroquinolones increase levels. Narrow TI."
prednisolone,Prelone|Delta-Cortef,corticosteroid,glucocorticoid,Binds glucocorticoid receptors → anti-inflammatory gene expression changes,oral|IV|IM,3,3.5,70,82,30,CYP3A4,,False,1000,Clinical response; minimize to lowest effective dose,Blood glucose|BP|K+|Bone density (long-term)|Ophthalmology (cataracts)|Growth in children,C,Take WITH food to reduce GI irritation,,HPA axis suppression with prolonged use — taper slowly. Adrenal crisis risk if stopped abruptly.
azathioprine,Imuran,immunosuppressant,purine analogue,Prodrug → 6-MP → inhibits purine synthesis → lymphocyte proliferation suppression,oral|IV,5,5,30,88,50,,TPMT|XO,True,5,Clinical response (lymphocyte counts),"CBC weekly for 8 weeks, then monthly|LFTs|TPMT genotype before starting",D,Take WITH food to reduce nausea,,CRITICAL: Allopurinol inhibits xanthine oxidase → 6-MP accumulation → fatal myelosuppression. TPMT testing essential.
cyclosporine,Neoral|Sandimmune|Gengraf,immunosuppressant,calcineurin inhibitor,Binds cyclophilin → inhibits calcineurin → reduced IL-2 transcription → T-cell suppression,oral|IV,27,27,90,30,0,CYP3A4,P-gp,True,,Trough: 100-400 ng/mL (transplant-type/time dependent),Cyclosporine trough q1-2 weeks|Cr|BP|K+|LFTs|CBC|Gingival hyperplasia,C,Consistent food intake essential — high-fat meal increases AUC. Grapefruit increases levels significantly.,,"Extreme drug interaction profile (CYP3A4/P-gp). Nephrotoxic. Hypertension, hyperlipidemia common."
hydroxychloroquine,Plaquenil,antimalarial/antirheumatic,aminoquinoline,Alkalinizes lysosomes → inhibits antigen processing; anti-inflammatory,oral,480,720,50,74,22,CYP2D6,CYP3A4,False,400,Clinical response (RA/SLE),Ophthalmology annually (retinopathy)|QT interval|CBC,C,Take WITH food or milk — reduces GI effects,,Retinopathy risk with cumulative dose >5 mg/kg/day. QT prolongation. Safe in pregnancy for lupus.
morphine,MS Contin|MSIR|Morphine Sulphate,opioid analgesic,full mu-opioid agonist,"Binds mu-opioid receptors in CNS and periphery → analgesia, sedation, euphoria",oral|IV|IM|subcutaneous,2,4,35,30,90,UGT2B7,,True,,Pain control (VAS ≤3); avoid respiratory depression,Respiratory rate|Pain scores|Sedation scale|Constipation|Opioid withdrawal,C,Extended-release: do not crush or chew. Food increases Cmax for IR formulation slightly.,severe respiratory depression|paralytic ileus|acute asthma,Active metabolite morphine-6-glucuronide (M6G) accumulates in renal failure — reduce dose or increase interval. Naloxone reversal available.
codeine,Tylenol with Codeine|Codeine Phosphate,opioid analgesic,prodrug opioid,Prodrug → O-demethylation by CYP2D6 → morphine (active) → mu-opioid receptor agonism,oral|IM,3,4,7,60,70,CYP2D6,CYP3A4,True,360,Analgesia without excess sedation,Respiratory rate|Sedation|CYP2D6 phenotype,C,Can be taken with food to reduce GI upset,,CYP2D6 ultra-rapid metabolizers (URM): life-threatening morphine toxicity. CONTRAINDICATED in children post-tonsillectomy and breastfeeding. PM: no analgesic effect.
tramadol,Ultram|Tramal,opioid analgesic,atypical opioid + NRI/SRI,Weak mu-opioid agonism + serotonin/norepinephrine reuptake inhibition,oral|IV|IM,6,7,20,75,30,CYP2D6,CYP3A4,False,400,Analgesic effect; avoid serotonin syndrome,Serotonin syndrome signs|Seizure risk|CYP2D6 phenotype,C,Can be taken with or without food,,Serotonin syndrome risk with SSRIs/SNRIs/MAOIs. Lowers seizure threshold. CYP2D6 inhibitors reduce analgesic efficacy.
fentanyl,Duragesic|Sublimaze|Fentora,opioid analgesic,synthetic opioid,Potent mu-opioid receptor agonist; high lipophilicity → rapid CNS entry,IV|transdermal|sublingual|nasal,3,7,84,92,10,CYP3A4,,True,,Analgesic; avoid respiratory depression,Respiratory rate|Sedation|Patch site (transdermal)|QTc,C,"Transdermal: heat (fever, electric blanket) increases absorption 3x — avoid. Sublingual: do not eat/drink for 15 min.",acute or severe bronchial asthma|opioid non-tolerant patients (high-strength patches),100x more potent than morphine. Transdermal takes 12-24hr to reach steady state. CYP3A4 inhibitors dramatically increase levels.
oxycodone,OxyContin|Percocet|Roxicodone,opioid analgesic,semi-synthetic opioid,Mu-opioid receptor agonist,oral,4,5,45,60,19,CYP3A4,CYP2D6,True,,Analgesia without respiratory depression,Respiratory rate|Abuse potential assessment|Hepatic function (combo with APAP),C,High-fat meal increases Cmax 25% for ER formulation. IR: take with or without food.,,ER formulation: do not crush/chew (dose dumping risk). Combination products contain paracetamol — monitor total APAP dose.
