name,brand,class,subclass,mechanism,route,half_life_hr_min,half_life_hr_max,protein_binding_pct,bioavailability_pct,renal_excretion_pct,primary_enzyme,secondary_enzymes,narrow_ti,max_daily_dose_mg,therapeutic_range,monitoring,pregnancy_cat,food_effect,contraindications,notes
haloperidol,Haldol,antipsychotic,typical (first-generation) antipsychotic,D2 receptor antagonism in mesolimbic pathway,oral|IM|IV,18,36,92,60,40,CYP3A4,CYP2D6,False,100,Serum: 5-20 ng/mL (optional TDM),EPS (AIMS scale)|QTc interval|Metabolic panel|Prolactin if symptomatic,C,Take with food to reduce GI effects. Oral solution: dilute in water or juice.,,Highest EPS risk of all antipsychotics. QT prolongation. Avoid IV route due to arrhythmia risk. Depot (decanoate) available for adherence.
olanzapine,Zyprexa,antipsychotic,atypical (second-generation) antipsychotic,"D2, 5-HT2A, H1, M1, alpha-1 antagonism",oral|IM,30,38,93,80,57,CYP1A2,UGT1A4,False,20,Plasma: 20-80 ng/mL (TDM guided),Weight/BMI monthly|Fasting glucose/HbA1c|Lipids|BP|EPS (less common),C,Can be taken with or without food,,"High metabolic side effect profile (weight gain, T2DM, dyslipidaemia). Smoking induces CYP1A2 — smokers need higher dose; dose reduction on smoking cessation."
quetiapine,Seroquel,antipsychotic,atypical antipsychotic,"D2, 5-HT2A, H1, alpha-1 antagonism; lower D2 affinity than haloperidol",oral,6,7,83,9,73,CYP3A4,,False,800,Plasma: 100-500 ng/mL,Weight|Metabolic panel|QTc|Sedation|Orthostatic BP,C,Food increases Cmax 25-52% — take consistently (always with or always without food).,,Low EPS risk. QT prolongation. Strong sedation (H1). CYP3A4 inducers (carbamazepine) dramatically reduce levels — may need 5x dose increase.
risperidone,Risperdal,antipsychotic,atypical antipsychotic,"D2 and 5-HT2A antagonism; also alpha-1, H1",oral|IM depot,20,24,90,70,70,CYP2D6,CYP3A4,False,16,Plasma: 20-60 ng/mL (risperidone + 9-OH-risperidone),EPS/akathisia|Prolactin|Weight|Metabolic panel|QTc,C,Can be taken with or without food,,"CYP2D6 PMs: higher risperidone, less 9-OH-risperidone; similar clinical effect but adjust for tolerability. Depot (Risperdal Consta) q2wk."
clozapine,Clozaril,antipsychotic,atypical antipsychotic (dibenzodiazepine),"D4 > D2 antagonism; 5-HT2, H1, M1, alpha antagonism; superior efficacy in treatment-resistant schizophrenia",oral,12,16,97,60,50,CYP1A2,CYP3A4|CYP2D6,True,900,Plasma trough: 350-600 ng/mL,"ANC weekly for 6 months, then bi-weekly, then monthly (agranulocytosis)|Weight|Glucose|Lipids|BP|ECG",B,Can be taken with or without food,history of clozapine-induced agranulocytosis|uncontrolled epilepsy|severe CNS depression,REMS program required. Agranulocytosis risk — absolute neutrophil count monitoring mandatory. Myocarditis risk in first 4 weeks. Smoking cessation dramatically increases levels (CYP1A2).
acyclovir,Zovirax,antiviral,nucleoside analogue (herpes),Thymidine kinase phosphorylation → acyclovir triphosphate inhibits HSV/VZV DNA polymerase,oral|IV|topical,2.5,3.5,15,20,90,,,False,4000,Clinical response (HSV/VZV suppression),Renal function (IV — crystals can precipitate)|Hydration|CBC in immunosuppressed,B,Can be taken with or without food. Adequate hydration required (especially IV — prevents crystalluria).,,IV: hydrate well to prevent tubular crystallization. Dose reduce if CrCl <50. Valacyclovir is oral prodrug with 3-5x better bioavailability.
valacyclovir,Valtrex,antiviral,nucleoside analogue prodrug (herpes),Prodrug of acyclovir; L-valine ester → better oral bioavailability → same mechanism as acyclovir,oral,2.5,3.5,15,55,90,,,False,3000,Clinical response,Renal function|Hydration,B,Can be taken with or without food,,Preferred oral formulation over acyclovir for bioavailability. Dose reduce if CrCl <50.
oseltamivir,Tamiflu,antiviral,neuraminidase inhibitor (influenza),Inhibits influenza neuraminidase → prevents viral release from infected cells,oral,6,10,3,80,90,,,False,150,Initiated within 48hr of symptom onset for efficacy,Renal function (dose adjust if CrCl <30)|Neuropsychiatric symptoms (children),C,Take with food to reduce nausea/vomiting,,Must start within 48hr of onset. Dose reduce for CrCl 10-30: 75mg once daily. Suspicion in pediatrics for neuropsychiatric events.
tenofovir,Viread|TDF,antiviral,NRTI (HIV/HBV),Nucleotide reverse transcriptase inhibitor → competitive inhibition of HIV-1 RT and HBV polymerase,oral,12,18,0.7,39,80,,,False,300,Undetectable HIV VL; HBV suppression,Renal function (tubular toxicity)|Bone mineral density|Phosphate|HIV VL|HBV DNA,B,High-fat meal increases AUC 40% — take consistently with or without food.,,Fanconi syndrome risk (proximal tubular dysfunction). BMD loss — calcium/Vit D supplementation. TDF replaced by TAF (lower renal/bone toxicity) in many settings.
emtricitabine,Emtriva|FTC,antiviral,NRTI (HIV/HBV),Cytidine analogue NRTI → inhibits HIV-1 reverse transcriptase and HBV polymerase,oral,10,10,4,93,70,,,False,200,Undetectable HIV VL,Renal function|HIV VL|HBV status before discontinuation (flare risk),B,Can be taken with or without food,,Usually co-formulated with TDF as Truvada or with TAF as Descovy. HBV flare if stopped in HBV co-infected — do not discontinue without HBV plan.
carbamazepine,Tegretol|Carbatrol,anticonvulsant,sodium channel blocker,Inhibits voltage-gated Na+ channels → stabilizes neuronal membranes; also reduces glutamate release,oral,25,65,76,85,3,CYP3A4,CYP2C8,True,1600,4-12 mg/L (epilepsy); 4-8 mg/L (mood),Carbamazepine level (at steady state 2-4wk)|CBC (aplastic anemia)|LFTs|Na+ (SIADH)|HLA-B*1502 screening (Asian patients — SJS risk),D,Take WITH food to reduce GI upset. Grapefruit increases levels significantly.,bone marrow suppression|concurrent MAOIs|HLA-B*1502 positive (SJS risk in Asians),"POTENT CYP3A4, CYP2C9, CYP1A2 INDUCER — reduces levels of oral contraceptives, warfarin, statins, many others. Autoinduction (induces own metabolism — t1/2 shortens from 65hr initially to 25hr at steady state). SJS/TEN risk — HLA-B*1502 test in at-risk populations."
valproate,Depakene|Depakote|Epilim,anticonvulsant,fatty acid anticonvulsant / mood stabilizer,"Na+ channel inhibition, GABA transaminase inhibition (↑ GABA), histone deacetylase inhibition",oral|IV,9,16,90,100,3,CYP2C9,UGT|Beta-oxidation,True,3000,50-100 mg/L (general); 50-125 mg/L (mania),Valproate level|LFTs (hepatotoxicity)|Platelets/CBC|Ammonia (hyperammonemia)|Fetal monitoring (teratogen),X,Take WITH food to reduce GI upset. Enteric-coated formulation reduces GI side effects.,"hepatic disease|urea cycle disorders|pregnancy (teratogen — neural tube defects, cognitive impairment)","TERATOGEN — neural tube defects (2-3%), cognitive impairment in children. Contraindicated in women of childbearing potential unless no alternative. Inhibits CYP2C9 → increases lamotrigine, phenobarbital. Carbapenems dramatically reduce valproate levels."
lamotrigine,Lamictal,anticonvulsant,sodium channel blocker / glutamate inhibitor,Inhibits voltage-gated Na+ channels; reduces glutamate/aspartate release,oral,25,33,55,98,90,UGT1A4,,True,500,3-14 mg/L,Lamotrigine level|Skin rash (SJS/TEN — especially if dose escalated too fast)|Seizure frequency,C,Can be taken with or without food,,"SJS risk — SLOW titration mandatory (start 25mg, double q2wk). Valproate doubles lamotrigine level — reduce dose 50%. Carbamazepine/phenytoin halve lamotrigine level. OCP reduces lamotrigine level 50% — adjust on initiation/cessation."
lithium,Eskalith|Lithobid,mood stabilizer,alkali metal ion,"Inositol monophosphatase inhibition → affects intracellular signaling; modulates GSK-3β, serotonin/dopamine release",oral,18,36,0,100,100,,,True,2400,0.6-1.2 mEq/L (maintenance); 0.8-1.2 mEq/L (acute mania); toxic >1.5 mEq/L,Lithium level (12hr post-dose) q3-6mo|Renal function (GFR — lithium nephrotoxicity)|Thyroid (hypothyroidism)|Ca++ (hyperparathyroidism)|ECG (T-wave changes),D,Take with food/milk to reduce GI upset. MAINTAIN CONSISTENT SODIUM INTAKE — low-sodium diet causes lithium retention → toxicity. Dehydration causes toxicity.,severe renal impairment|severe cardiovascular disease,"CRITICAL: NSAIDs, thiazides, ACE inhibitors reduce renal lithium clearance → toxicity. Dehydration/sodium restriction → lithium toxicity. Toxicity signs: tremor, ataxia, confusion, arrhythmia. No protein binding → dialysis removes lithium in overdose."
vancomycin,Vancocin,antibiotic,glycopeptide,Inhibits cell wall synthesis by binding D-Ala-D-Ala terminus of peptidoglycan precursors,IV|oral (C. diff only),4,11,55,0,90,,,True,,AUC/MIC 400-600 (current guideline); trough 10-20 mg/L (traditional),AUC-guided TDM (preferred) or trough|Renal function (nephrotoxicity)|Audiology if prolonged (ototoxicity)|Red Man syndrome (infusion rate),C,IV only (systemic). Oral formulation for C. diff — not absorbed systemically.,hypersensitivity to vancomycin,Red Man Syndrome: infuse over ≥60 min. Nephrotoxicity synergistic with aminoglycosides. Oral vancomycin for C. diff: NOT absorbed — safe in renal impairment. MRSA drug of choice.
meropenem,Merrem,antibiotic,carbapenem,Inhibits PBPs → blocks cell wall transpeptidation → bactericidal,IV,1,1.5,2,100,70,,,False,6000,%T>MIC guided dosing; extended infusion preferred,Renal function (dose adjust)|Seizure threshold (especially with prior CNS disease)|Valproate level (carbapenems reduce valproate),B,IV only,,CRITICAL: Carbapenems reduce valproate serum level up to 90% within 24hr — do not combine if valproate essential. Extended infusion (3hr) recommended for MIC >2 mg/L organisms.
linezolid,Zyvox,antibiotic,oxazolidinone,Binds 23S rRNA of 50S ribosomal subunit → inhibits initiation complex formation,oral|IV,4.4,5.5,31,100,30,,,False,1200,AUC/MIC > 80-120 for MRSA,"CBC weekly (myelosuppression)|Serotonin syndrome signs|Lactic acidosis (mitochondrial toxicity, prolonged use)|Optic neuropathy (prolonged use >28 days)",C,"Can be taken with or without food. AVOID tyramine-rich foods (aged cheese, cured meats, wine) — MAOI-like reaction.",,Weak MAO inhibitor — serotonin syndrome risk with SSRIs/SNRIs/tramadol (critical DDI). Tyramine dietary restriction required. Not intended for >28-day courses without specialist review.
insulin_aspart,NovoLog|NovoRapid|Fiasp,antidiabetic,rapid-acting insulin analogue,Rapid-onset insulin receptor agonism — covers post-meal glucose excursion,subcutaneous|IV (hospital),1.5,1.5,0,70,5,,,True,,Post-prandial BG <180 mg/dL,Blood glucose before and 2hr after meals|Hypoglycemia|HbA1c,B,MUST be administered 0-15 minutes before or immediately after starting a meal. Dose based on carbohydrate content.,,Onset 10-20 min; peak 1-3hr; duration 3-5hr. High hypoglycemia risk if meal skipped after injection.
contraceptive_pill_ethinyl_estradiol,Microgynon|Yasmin|Loestrin,contraceptive,combined oral contraceptive pill,Estrogen + progestin → suppresses LH/FSH surges → inhibits ovulation; thickens cervical mucus; alters endometrium,oral,26,26,98,45,30,CYP3A4,,False,,Contraceptive effect,BP annually|Breast exam|Cervical smear|VTE risk assessment|Migraine pattern,X,Can be taken with or without food. Take at same time each day.,migraine with aura|age >35 + smoking|VTE history|estrogen-sensitive cancer|severe hypertension,"ENZYME INDUCERS (rifampicin, carbamazepine, phenytoin, St. John's Wort) reduce efficacy — use barrier method + higher-dose OCP. Lamotrigine clearance increased significantly by OCP — monitor seizure control."
testosterone,AndroGel|Testim|Depo-Testosterone,hormone,androgen,"Binds androgen receptor → promotes male secondary sexual characteristics, spermatogenesis, erythropoiesis, muscle/bone anabolism",transdermal|IM|subcutaneous implant,10,100,98,10,10,CYP3A4,,False,,Total T: 300-1000 ng/dL (morning trough),Testosterone level (morning)|Hematocrit (erythrocytosis)|PSA annually >40yr|BP|Lipids,X,Transdermal: do not apply to scrotum/damaged skin. Wash hands after. Do not shower/swim 5hr post-application.,,Erythrocytosis risk — hold if Hct >54%. Stimulates PSA — monitor prostate. Increases warfarin effect. Contraindicated in prostate/breast cancer.
levodopa_carbidopa,Sinemet|Madopar (levodopa/benserazide),antiparkinsonian,dopamine precursor,"Levodopa crosses BBB → DOPA decarboxylase → dopamine. Carbidopa inhibits peripheral DOPA decarboxylase → reduces levodopa side effects, increases CNS delivery",oral,1.5,2,10,70,70,,,False,2000,Clinical motor function; minimize dyskinesia,Motor function (UPDRS)|Orthostatic BP|Dyskinesia onset|Impulse control disorders|Nausea,C,HIGH-PROTEIN MEALS compete for absorption via large neutral amino acid transporters — take 30-60 min before or 1-2hr after protein-rich meals for maximal effect. Food reduces Cmax but protein is the key interaction.,,MAOIs (non-selective) absolutely contraindicated — hypertensive crisis. Dopamine agonists (pramipexole) added to extend honeymoon period. Wearing-off and on-off phenomena develop over time.
pramipexole,Mirapex,antiparkinsonian,dopamine agonist (D3 > D2),Direct D2/D3 receptor agonism in striatum and substantia nigra,oral,8,12,15,90,90,,,False,4.5,"Clinical effect (motor symptoms, RLS)","Impulse control disorders (gambling, hypersexuality)|Sleep attacks/somnolence (no driving)|Orthostatic BP|Edema|Hallucinations in elderly",C,Can be taken with or without food,,"Impulse control disorders in up to 17% (gambling, shopping, hypersexuality) — counsel patients and carers. Sleep attacks without warning — no driving. Renal dose adjustment if CrCl <60."
baclofen,Lioresal,muscle relaxant,GABA-B agonist,GABA-B receptor agonism → inhibits mono- and polysynaptic spinal reflexes → muscle relaxation,oral|intrathecal,3,4,30,87,85,,,False,80,Clinical spasticity control,"Sedation/drowsiness|Renal function (dose adjust)|Abrupt withdrawal (seizures, hyperthermia)",C,Take WITH food to reduce GI upset,,"NEVER stop abruptly — withdrawal can cause seizures, hyperthermia, hallucinations (especially intrathecal baclofen). Taper slowly."
tamsulosin,Flomax,urological agent,alpha-1A adrenergic antagonist,Selective alpha-1A blockade in prostate smooth muscle → relaxes bladder neck and prostate → improved urine flow,oral,9,13,94,90,76,CYP3A4,CYP2D6,False,0.8,Symptom relief (AUA symptom score),BP (orthostasis)|Intraoperative Floppy Iris Syndrome (IFIS) — warn ophthalmologist before cataract surgery,B,Take 30 min after same meal each day — food reduces peak concentration and orthostatic hypotension risk.,,Intraoperative Floppy Iris Syndrome — MUST inform surgeon before any eye surgery. Orthostatic hypotension worse with first dose. CYP3A4/2D6 inhibitors increase levels.
finasteride,Proscar (5mg BPH)|Propecia (1mg hairloss),urological agent,5-alpha reductase inhibitor,Inhibits 5-alpha reductase type II → reduces DHT → prostate size reduction / hair follicle androgen effect reduction,oral,5,6,93,80,39,CYP3A4,,False,5,Symptom relief / hair retention,PSA (finasteride reduces PSA by 50% — adjust reference range)|Sexual dysfunction|Breast tenderness,X,Can be taken with or without food,,TERATOGENIC — pregnant women must NOT handle crushed/broken tablets. PSA is halved — a PSA that appears 'normal' may be elevated when corrected. High-grade prostate cancer concern (clinical debate).
acetazolamide,Diamox,carbonic anhydrase inhibitor,diuretic / anti-glaucoma,Inhibits carbonic anhydrase → reduces aqueous humor formation (IOP reduction); also reduces CSF production; metabolic acidosis,oral|IV,10,15,90,90,90,,,False,1000,IOP <21 mmHg; altitude sickness prevention,Electrolytes (K+ loss)|Renal function|Stevens-Johnson syndrome (rare)|Kidney stones (bicarbonate loss → urine alkalosis),C,"Take WITH food to reduce GI upset. High potassium foods (bananas, oranges) recommended.",,Sulfonamide-based — cross-reactivity with sulfa allergy possible. Hypokalemia risk. Contraindicated in hepatic cirrhosis (NH3 retention). Altitude sickness prevention/treatment.
enoxaparin,Lovenox|Clexane,anticoagulant,low molecular weight heparin (LMWH),Activates antithrombin III with higher anti-Xa than anti-IIa activity → inhibits factor Xa predominantly,subcutaneous|IV,4.5,7,0,92,40,,,True,,"Anti-Xa 0.5-1.0 IU/mL (twice daily); 1.0-2.0 IU/mL (once daily, 4hr post-dose)",Anti-Xa level in renal impairment/extremes of weight/pregnancy|Platelet count (HIT less common than UFH)|Renal function,B,Subcutaneous injection — no food interaction,,"Does NOT require routine monitoring in standard-weight patients with normal renal function. Anti-Xa monitoring recommended if CrCl <30, weight <45kg or >100kg, or pregnancy. Partially reversed by protamine (not fully)."
clopidogrel,Plavix,antiplatelet,P2Y12 receptor antagonist,Prodrug → CYP2C19 activation → active thiol metabolite irreversibly inhibits P2Y12 ADP receptor on platelets → reduced platelet aggregation,oral,7,8,98,50,50,CYP2C19,CYP3A4,False,300,Platelet inhibition >40% (VerifyNow P2Y12 optional),Bleeding|CYP2C19 genotype (loss-of-function alleles → reduced efficacy)|CBC,B,Can be taken with or without food,,"CYP2C19 *2 and *3 poor metabolizers: ~30% of Asians, 2-3% of Caucasians — reduced antiplatelet effect → consider alternative (ticagrelor, prasugrel). PPIs (especially omeprazole) inhibit CYP2C19 → reduced clopidogrel activation (controversial — pantoprazole safer)."
aspirin,Aspirin|Bayer Aspirin|Ecotrin,antiplatelet / analgesic / NSAID,salicylate,Irreversibly acetylates COX-1 and COX-2 → reduced TXA2 (antiplatelet) and PGE2 (analgesic/anti-inflammatory),oral|rectal,0.3,0.3,90,68,80,,,False,4000,Antiplatelet: 75-100mg daily; Analgesic/antipyretic: 325-650mg q4-6hr; Anti-inflammatory: 2400-6000mg/day,GI symptoms (ulcer risk)|Renal function|Salicylate level if toxicity suspected|INR if on warfarin,D,Take WITH food or milk to reduce GI irritation. Enteric-coated formulation reduces direct gastric contact.,,"Reye's syndrome in children with viral illness — avoid under 16yr. Antiplatelet effect lasts platelet lifetime (7-10 days). Tinnitus is early sign of salicylate toxicity. Interacts with warfarin (bleeding), methotrexate (toxicity), ACE inhibitors (reduced effect)."
methotrexate,Rheumatrex|Trexall|Methofar,DMARD / antimetabolite,folate antagonist,Inhibits dihydrofolate reductase (DHFR) → reduces folate cofactors → inhibits DNA/RNA synthesis and purine metabolism; anti-inflammatory at low doses via adenosine pathway,oral|IM|subcutaneous|IV (oncology),3,12,50,64,80,,,True,25,Rheumatology: clinical response; Oncology: dose-dependent with leucovorin rescue,LFTs monthly (hepatotoxicity → fibrosis)|CBC monthly (myelosuppression)|Renal function|Pulmonary function (pneumonitis)|Folate supplementation,X,Can be taken with or without food. Avoid alcohol (hepatotoxicity).,pregnancy|hepatic impairment|renal impairment (accumulates)|active infection|immunodeficiency,TERATOGEN — strict contraception required during and 6 months after. Take folic acid 5mg weekly (NOT on MTX day) to reduce side effects. NSAIDs + MTX = toxicity risk (reduce renal clearance). Trimethoprim + MTX = severe myelosuppression (additive DHFR inhibition). Weekly dosing for rheumatology — NEVER daily.
budesonide,Pulmicort|Rhinocort|Symbicort (combined),corticosteroid,inhaled corticosteroid,"Binds glucocorticoid receptors → reduces airway inflammation, edema, mucus secretion",inhaled|nasal|oral (Crohn's),2,3.6,88,10,30,CYP3A4,,False,1.6,"Clinical asthma/COPD control (symptoms, exacerbations)",Height in children (growth velocity)|Adrenal suppression (high doses)|Bone density (long-term)|Oropharyngeal candidiasis,B,"Inhaled: rinse mouth after use to reduce oropharyngeal candidiasis. Oral capsule (Crohn's): swallow whole, do not crush.",,"Minimal systemic absorption vs oral steroids. CYP3A4 inhibitors (itraconazole, ritonavir) can increase systemic budesonide → adrenal suppression. Rinse mouth after inhaled use."
ipratropium,Atrovent,bronchodilator,anticholinergic / muscarinic antagonist,Competitively inhibits M1/M3 muscarinic receptors in bronchial smooth muscle → bronchodilation; reduces secretions,inhaled|nasal,2,3,0,7,60,,,False,,Clinical bronchodilation (COPD/asthma),Urinary retention (BPH)|Angle-closure glaucoma if eye contact with solution,B,Inhaled — no food interaction,,Avoid contact with eyes (nebulizer mask) — angle-closure glaucoma risk. Additive anticholinergic effects with other antimuscarinics. Less effective for acute asthma than SABA.
donepezil,Aricept,cognitive enhancer,acetylcholinesterase inhibitor,Reversible inhibition of acetylcholinesterase → increases acetylcholine in cholinergic synapses of basal forebrain → improves cognition in Alzheimer's,oral,70,80,96,100,57,CYP3A4,CYP2D6,False,23,Clinical (MMSE stabilization),"GI side effects (nausea, diarrhea)|Bradycardia/syncope|Sleep disturbances (nightmares — take in AM)",C,"Can be taken with or without food. If nightmares occur, switch to morning dosing.",,"Bradycardia/syncope — caution with sick sinus syndrome, AV block. NSAIDs risk GI bleeding with cholinesterase inhibitors. Higher dose (23mg) more GI side effects."
diazepam,Valium,anxiolytic,benzodiazepine,Positive allosteric modulator at GABA-A receptors → enhances Cl- influx → CNS depression,oral|IV|IM|rectal,20,100,98,93,70,CYP2C19,CYP3A4,False,40,Clinical anxiolysis/seizure control; avoid respiratory depression,Respiratory rate|Sedation|Dependence/withdrawal potential|Cognitive function (elderly),D,Take with food to reduce GI effects. Alcohol: ABSOLUTE AVOIDANCE — additive CNS/respiratory depression.,,Active metabolite desmethyldiazepam t1/2 = 36-200hr — accumulates in elderly. Withdrawal (after >2-4 weeks): taper slowly to prevent seizures. Flumazenil reversal. Avoid in elderly (Beers criteria).
zolpidem,Ambien|Stilnoct,sedative-hypnotic,non-benzodiazepine (Z-drug),Selective GABA-A alpha-1 subunit PAM → hypnotic with less anxiolysis/muscle relaxation than BZDs,oral,2.5,3,92,70,56,CYP3A4,CYP2C9,False,10,Clinical sleep onset,"Next-day sedation|Parasomnias (sleep-driving, sleep-eating)|Dependence potential|CYP3A4 inhibitors (double levels)",C,Take on EMPTY STOMACH — food delays onset by 1hr and reduces Cmax. Take immediately before bed.,,"Reduce dose to 5mg in women (lower clearance), elderly, hepatic impairment. Parasomnias (complex sleep behaviors) — warn patients. Not for long-term use. CYP3A4 inhibitors (ketoconazole) double levels."
venlafaxine,Effexor,antidepressant,SNRI,Serotonin and norepinephrine reuptake inhibition (NE selectivity increases at higher doses),oral,5,11,27,45,87,CYP2D6,CYP3A4,False,375,Clinical antidepressant/anxiolytic response,BP (dose-dependent hypertension — check q3mo)|Discontinuation syndrome (taper slowly)|Serotonin syndrome signs,C,Take with food to reduce nausea. Extended-release: swallow whole.,,Dose-dependent hypertension (especially >300mg) — monitor BP. Severe discontinuation syndrome — taper over weeks. Serotonin syndrome with MAOIs/tramadol. CYP2D6 inhibitors increase levels.
bupropion,Wellbutrin|Zyban (smoking cessation),antidepressant,NDRI (norepinephrine-dopamine reuptake inhibitor),Inhibits reuptake of norepinephrine and dopamine; no serotonergic activity,oral,21,21,84,87,87,CYP2B6,,False,450,Clinical antidepressant response / smoking cessation,Seizure threshold (dose-related — do not exceed 150mg per dose)|BP|Insomnia|Suicidal ideation initially,C,Take with food to reduce nausea. Extended-release: do not crush.,,"Lowers seizure threshold — CONTRAINDICATED in eating disorders (electrolyte imbalances), seizure history, concurrent CNS stimulants. No sexual dysfunction (unlike SSRIs). Strong CYP2D6 inhibitor — increases tamoxifen, tricyclics, many others."
sulfasalazine,Azulfidine,DMARD / aminosalicylate,sulfonamide-aminosalicylate conjugate,"Cleaved by colonic bacteria → mesalazine (anti-inflammatory) + sulfapyridine (immunomodulatory, DMARD component)",oral,6,10,99,20,60,NAT2,,False,3000,Clinical RA/IBD disease control,CBC (myelosuppression)|LFTs|Renal function|Folate (inhibits absorption)|G6PD before starting (hemolysis),B,Take WITH food to reduce GI side effects. Ensure adequate hydration.,,G6PD deficiency → hemolytic anemia. NAT2 slow acetylators (50% of Caucasians) higher sulfapyridine levels → more side effects. Reduces folate absorption — supplement. Orange urine/contact lens staining (warn patients).
tamoxifen,Nolvadex,antineoplastic / SERM,selective estrogen receptor modulator,Competitive estrogen receptor antagonism in breast tissue; partial agonism in uterus/bone,oral,168,168,99,100,30,CYP2D6,CYP3A4,False,40,Clinical (endoxifen level >5.97 ng/mL associated with benefit),Annual gynecology (endometrial cancer risk)|DVT/PE symptoms|Ophthalmology if visual symptoms|CYP2D6 genotype|Endoxifen level optional,D,Can be taken with or without food,pregnancy|history of DVT/PE (relative),"CYP2D6 METABOLIZES to endoxifen (active metabolite — main efficacy driver). CYP2D6 inhibitors (fluoxetine, paroxetine, bupropion) DRASTICALLY reduce endoxifen → reduced efficacy. Avoid CYP2D6 inhibitors during tamoxifen therapy. Uterine cancer risk — any abnormal bleeding requires urgent investigation. VTE risk — thromboprophylaxis if major surgery."
imatinib,Gleevec|Glivec,antineoplastic,"tyrosine kinase inhibitor (BCR-ABL, c-KIT, PDGFR)",Competitive inhibition of ATP binding site of BCR-ABL kinase → blocks CML proliferation; also inhibits c-KIT (GIST) and PDGFR,oral,18,40,95,98,13,CYP3A4,CYP2C8,False,800,Trough >1000 ng/mL (CML); clinical response,"CBC (cytopenias)|LFTs|Fluid retention/edema (pericardial, pleural)|Bone marrow response (BCR-ABL PCR)|CYP3A4 interactions",D,Take WITH food and large glass of water to reduce GI irritation,,"CYP3A4 inducers (rifampicin, carbamazepine) dramatically reduce levels — avoid or increase dose. CYP3A4 inhibitors (ketoconazole) increase levels. Fluid retention common — weigh patients regularly."
